pair_id,audio_file,transcript_file,status,speaker_id,speaker_name,gender,age,dialect,governorate,duration_sec,sample_rate,channels,bit_depth,transcript,normalized_text,audio_processed,segmented,aligned,alignment_score,source,language,country,remarks
PAIR_000001,IQ_000001.wav,IQ_000001.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000002,IQ_000002.wav,IQ_000002.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000003,IQ_000003.wav,IQ_000003.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000004,IQ_000004.wav,IQ_000004.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000005,IQ_000005.wav,IQ_000005.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000006,IQ_000006.wav,IQ_000006.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000007,IQ_000007.wav,IQ_000007.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000008,IQ_000008.wav,IQ_000008.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000009,IQ_000009.wav,IQ_000009.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000010,IQ_000010.wav,IQ_000010.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000011,IQ_000011.wav,IQ_000011.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000012,IQ_000012.wav,IQ_000012.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000013,IQ_000013.wav,IQ_000013.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000014,IQ_000014.wav,IQ_000014.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000015,IQ_000015.wav,IQ_000015.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000016,IQ_000016.wav,IQ_000016.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000017,IQ_000017.wav,IQ_000017.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000018,IQ_000018.wav,IQ_000018.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000019,IQ_000019.wav,IQ_000019.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000020,IQ_000020.wav,IQ_000020.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000021,IQ_000021.wav,IQ_000021.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000022,IQ_000022.wav,IQ_000022.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
PAIR_000023,IQ_000023.wav,IQ_000023.txt,Matched,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,Arabic,Iraq,
